city_name,region,federal,population,lat,lon
Улан-Удэ,Бурятия,Дальневосточный,437565,51.834809,107.584547
Ульяновск,Ульяновская область,Приволжский,617352,54.318598,48.405773
Уссурийск,Приморский край,Дальневосточный,180393,43.797247,131.952122
Уфа,Башкортостан,Приволжский,1144809,54.735152,55.958736
Хабаровск,Хабаровский край,Дальневосточный,617441,48.480229,135.071917
Ханты-Мансийск,Ханты-Мансийский АО,Уральский,107473,61.003184,69.018911
Хасавюрт,Дагестан,Северо-Кавказский,155144,43.248347,46.586208
Химки,Московская область,Центральный,257128,55.889361,37.444853
Чебоксары,Чувашия,Приволжский,497807,56.139918,47.247728
Челябинск,Челябинская область,Уральский,1189525,55.159902,61.402554
Череповец,Вологодская область,Северо-Западный,305185,59.122672,37.903443
Черкесск,Карачаево-Черкесия,Северо-Кавказский,113226,44.228374,42.048279
Чита,Забайкальский край,Дальневосточный,334427,52.033635,113.501049
Шахты,Ростовская область,Южный,226452,47.709237,40.215401
Щёлково,Московская область,Центральный,134211,55.92022,37.991532
Электросталь,Московская область,Центральный,146403,55.78445,38.444858
Элиста,Калмыкия,Южный,102583,46.307743,44.269759
Энгельс,Саратовская область,Приволжский,225428,51.50105,46.124052
Южно-Сахалинск,Сахалинская область,Дальневосточный,181587,46.957771,142.729587
Якутск,Якутия,Дальневосточный,355443,62.027221,129.732178
Ярославль,Ярославская область,Центральный,577279,57.626559,39.893813
