city_name,region,federal,population
Дегтярск,Свердловская область,Уральский,15 497
Дедовск,Московская область,Центральный,30 731
Демидов,Смоленская область,Центральный,6326
Дербент,Дагестан,Северо-Кавказский,124 953
Десногорск,Смоленская область,Центральный,25 345
Джанкой не призн.,Крым,Южный,37 014
Дзержинск,Нижегородская область,Приволжский,218 630
Дзержинский,Московская область,Центральный,57 918
Дивногорск,Красноярский край,Сибирский,27 477
Дигора,Северная Осетия,Северо-Кавказский,9922
Димитровград,Ульяновская область,Приволжский,110 968
Дмитриев,Курская область,Центральный,6317
Дмитров,Московская область,Центральный,65 574
Дмитровск,Орловская область,Центральный,5202
Дно,Псковская область,Северо-Западный,7850
Добрянка,Пермский край,Приволжский,28 782
Долгопрудный,Московская область,Центральный,120 907
Долинск,Сахалинская область,Дальневосточный,11 740
Домодедово,Московская область,Центральный,152 404
Донецк,Ростовская область,Южный,46 623
Донской,Тульская область,Центральный,63 837
Дорогобуж,Смоленская область,Центральный,9528
Дрезна,Московская область,Центральный,12 295
Дубна,Московская область,Центральный,74 183
Дубовка,Волгоградская область,Южный,14 779
Дудинка,Красноярский край,Сибирский,19 556
Духовщина,Смоленская область,Центральный,3990
Дюртюли,Башкортостан,Приволжский,31 185
Дятьково,Брянская область,Центральный,25 255
Евпатория не призн.,Крым,Южный,107 877
Егорьевск,Московская область,Центральный,71 686
Ейск,Краснодарский край,Южный,82 943
Екатеринбург,Свердловская область,Уральский,1 544 376
Елабуга,Татарстан,Приволжский,73 630
Елец,Липецкая область,Центральный,99 875
Елизово,Камчатский край,Дальневосточный,36 240
Ельня,Смоленская область,Центральный,8332
Еманжелинск,Челябинская область,Уральский,27 632
Емва,Коми,Северо-Западный,10 994
Енисейск,Красноярский край,Сибирский,17 537
Ермолино,Калужская область,Центральный,10 809
Ершов,Саратовская область,Приволжский,18 095
Ессентуки,Ставропольский край,Северо-Кавказский,119 658
Ефремов,Тульская область,Центральный,36 545
Железноводск,Ставропольский край,Северо-Кавказский,22 863
Железногорск,Красноярский край,Сибирский,82 723
Железногорск,Курская область,Центральный,97 038
Железногорск-Илимский,Иркутская область,Сибирский,21 621
Жердевка,Тамбовская область,Центральный,13 883
Жигулёвск,Самарская область,Приволжский,50 466
Жиздра,Калужская область,Центральный,5545
Жирновск,Волгоградская область,Южный,15 555
Жуков,Калужская область,Центральный,16 224
Жуковка,Брянская область,Центральный,17 628
Жуковский,Московская область,Центральный,111 222
Завитинск,Амурская область,Дальневосточный,9615
Заводоуковск,Тюменская область,Уральский,27 100
Заволжск,Ивановская область,Центральный,8896
Заволжье,Нижегородская область,Приволжский,36 763
Задонск,Липецкая область,Центральный,9887
Заинск,Татарстан,Приволжский,39 739
Закаменск,Бурятия,Дальневосточный,11 365
Заозёрный,Красноярский край,Сибирский,10 573
Заозёрск,Мурманская область,Северо-Западный,7762
Западная Двина,Тверская область,Центральный,7869
Заполярный,Мурманская область,Северо-Западный,14 791
Зарайск,Московская область,Центральный,20 736
Заречный,Пензенская область,Приволжский,58 510
Заречный,Свердловская область,Уральский,28 112
Заринск,Алтайский край,Сибирский,41 272
Звенигово,Марий Эл,Приволжский,10 994
Звенигород,Московская область,Центральный,35 842
Зверево,Ростовская область,Южный,19 353
Зеленогорск,Красноярский край,Сибирский,54 279
Зеленоградск,Калининградская область,Северо-Западный,16 625
Зеленодольск,Татарстан,Приволжский,99 137
Зеленокумск,Ставропольский край,Северо-Кавказский,33 187
Зерноград,Ростовская область,Южный,24 076
Зея,Амурская область,Дальневосточный,19 414
Зима,Иркутская область,Сибирский,30 640
Златоуст,Челябинская область,Уральский,161 774
Злынка,Брянская область,Центральный,5270
Змеиногорск,Алтайский край,Сибирский,9410
Знаменск,Астраханская область,Южный,24 628
Зубцов,Тверская область,Центральный,6217
Зуевка,Кировская область,Приволжский,9767
Ивангород,Ленинградская область,Северо-Западный,9861
Иваново,Ивановская область,Центральный,361 644
Ивантеевка,Московская область,Центральный,82 827
Ивдель,Свердловская область,Уральский,14 306
Игарка,Красноярский край,Сибирский,3634
Ижевск,Удмуртия,Приволжский,623 472
Избербаш,Дагестан,Северо-Кавказский,55 996
Изобильный,Ставропольский край,Северо-Кавказский,38 614
Иланский,Красноярский край,Сибирский,15 945
Инза,Ульяновская область,Приволжский,16 293
Иннополис,Татарстан,Приволжский,3955
Инсар,Мордовия,Приволжский,7920
Инта,Коми,Северо-Западный,20 271
Ипатово,Ставропольский край,Северо-Кавказский,26 122
Ирбит,Свердловская область,Уральский,37 009
Иркутск,Иркутская область,Сибирский,606 369
Исилькуль,Омская область,Сибирский,20 515
Искитим,Новосибирская область,Сибирский,57 147
Истра,Московская область,Центральный,37 474
Ишим,Тюменская область,Уральский,67 614
Ишимбай,Башкортостан,Приволжский,64 041
Йошкар-Ола,Марий Эл,Приволжский,281 248
Кадников,Вологодская область,Северо-Западный,4106
Казань,Татарстан,Приволжский,1 308 660
Калач,Воронежская область,Центральный,17 624
Калач-на-Дону,Волгоградская область,Южный,24 277
Калачинск,Омская область,Сибирский,21 378
Калининград,Калининградская область,Северо-Западный,490 449
Калининск,Саратовская область,Приволжский,14 949
Калтан,Кемеровская область,Сибирский,21 752
Калуга,Калужская область,Центральный,337 058
Калязин,Тверская область,Центральный,12 621
Камбарка,Удмуртия,Приволжский,10 080
Каменка,Пензенская область,Приволжский,33 491
Каменногорск,Ленинградская область,Северо-Западный,7160
Каменск-Уральский,Свердловская область,Уральский,164 192
Каменск-Шахтинский,Ростовская область,Южный,86 365
Камень-на-Оби,Алтайский край,Сибирский,32 385
Камешково,Владимирская область,Центральный,12 028
Камызяк,Астраханская область,Южный,16 154
Камышин,Волгоградская область,Южный,107 927
